Company Name,Ticker Symbol,Include,Exported,Timeframe Listed,Industry,,,,
Apple Inc.,AAPL,TRUE,TRUE,2012-2022,Technology,,,,
Amazon.com Inc.,AMZN,TRUE,TRUE,2012-2022,Consumer Discretionary,,,Consumer Discretionary,4
Microsoft Corp.,MSFT,TRUE,TRUE,2012-2022,Technology,,,Technology,6
Tesla Inc.,TSLA,TRUE,TRUE,2013-2022,Automobile,,,Automobile,3
Meta Platforms Inc.,META,TRUE,TRUE,2012-2022,Communication Services,,,Communication Services,5
Alphabet Inc.,GOOGL,TRUE,TRUE,2012-2022,Communication Services,,,Healthcare,5
Intel Corp.,INTC,TRUE,TRUE,2012-2022,Technology,,,Consumer Staples,4
NVIDIA Corp.,NVDA,TRUE,TRUE,2015-2022,Technology,,,Energy,6
Pfizer Inc.,PFE,TRUE,TRUE,2012-2022,Healthcare,,,Financials,6
Johnson & Johnson,JNJ,TRUE,TRUE,2012-2022,Healthcare,,,Industrials,4
Procter & Gamble Co.,PG,FALSE,,2012-2022,Consumer Staples,,,Materials,4
Coca-Cola Co.,KO,TRUE,TRUE,2012-2022,Consumer Staples,,,Clothing,4
PepsiCo Inc.,PEP,TRUE,TRUE,2012-2022,Consumer Staples,,,Travel,3
Exxon Mobil Corp.,XOM,TRUE,TRUE,2012-2022,Energy,,,Beauty,3
Chevron Corp.,CVX,TRUE,TRUE,2012-2022,Energy,,,Retail,3
Walmart Inc.,WMT,TRUE,TRUE,2012-2022,Consumer Staples,,,Food,2
JPMorgan Chase & Co.,JPM,TRUE,TRUE,2012-2022,Financials,,,,58
Bank of America Corp.,BAC,FALSE,,2012-2022,Financials,,,,
Wells Fargo & Co.,WFC,TRUE,TRUE,2012-2022,Financials,,,,
Citigroup Inc.,C,FALSE,,2012-2022,Financials,,,,
AT&T Inc.,T,TRUE,TRUE,2012-2022,Communication Services,,,,
Verizon Communications Inc.,VZ,TRUE,TRUE,2012-2022,Communication Services,,,,
Comcast Corp.,CMCSA,FALSE,,2012-2022,Communication Services,,,,
Abbott Laboratories,ABT,FALSE,,2012-2022,Healthcare,,,,
AbbVie Inc.,ABBV,FALSE,FALSE,2013-2022,Healthcare,,,,
UnitedHealth Group Inc.,UNH,FALSE,,2012-2022,Healthcare,,,,
Merck & Co.,MRK,TRUE,TRUE,2012-2022,Healthcare,,,,
General Electric Co.,GE,FALSE,,2012-2022,Industrials,,,,
Honeywell International Inc.,HON,TRUE,TRUE,2012-2022,Industrials,,,,
Lockheed Martin Corp.,LMT,TRUE,TRUE,2012-2022,Industrials,,,,
Raytheon Technologies Corp.,RTX,FALSE,,2012-2022,Industrials,,,,
Boeing Co.,BA,FALSE,,2012-2022,Industrials,,,,
Ford Motor Co.,F,TRUE,TRUE,2012-2022,Automobile,,,,
General Motors Co.,GM,TRUE,TRUE,2012-2022,Automobile,,,,
Netflix Inc.,NFLX,FALSE,,2013-2022,Communication Services,,,,
eBay Inc.,EBAY,TRUE,TRUE,2012-2022,Consumer Discretionary,,,,
Macy's Inc.,M,FALSE,,2012-2022,Consumer Discretionary,,,,
Target Corp.,TGT,FALSE,,2012-2022,Consumer Discretionary,,,,
McDonald's Corp.,MCD,TRUE,TRUE,2012-2022,Food,,,,
Starbucks Corp.,SBUX,TRUE,TRUE,2012-2022,Food,,,,
Adobe Inc.,ADBE,FALSE,,2012-2022,Technology,,,,
Salesforce.com Inc.,CRM,TRUE,TRUE,2013-2022,Technology,,,,
Oracle Corp.,ORCL,FALSE,,2012-2022,Technology,,,,
Cisco Systems Inc.,CSCO,FALSE,,2012-2022,Technology,,,,
Qualcomm Inc.,QCOM,FALSE,,2012-2022,Technology,,,,
Texas Instruments Inc.,TXN,FALSE,,2012-2022,Technology,,,,
Micron Technology Inc.,MU,FALSE,,2012-2022,Technology,,,,
Applied Materials Inc.,AMAT,FALSE,FALSE,2012-2022,Technology,,,,
Advanced Micro Devices Inc.,AMD,FALSE,FALSE,2012-2022,Technology,,,,
Electronic Arts Inc.,EA,FALSE,,2012-2022,Communication Services,,,,
Activision Blizzard Inc.,ATVI,TRUE,,2015-2022,Communication Services,,,,
PayPal Holdings Inc.,PYPL,TRUE,TRUE,2015-2022,Financials,,,,
Visa Inc.,V,TRUE,TRUE,2012-2022,Financials,,,,
Mastercard Inc.,MA,TRUE,TRUE,2012-2022,Financials,,,,
Goldman Sachs Group Inc.,GS,FALSE,,2012-2022,Financials,,,,
Morgan Stanley,MS,FALSE,FALSE,2012-2022,Financials,,,,
American Express Co.,AXP,FALSE,,2012-2022,Financials,,,,
Costco Wholesale Corp.,COST,TRUE,FALSE,2012-2022,Consumer Staples,,,,
Home Depot Inc.,HD,TRUE,FALSE,2012-2022,Consumer Discretionary,,,,
Lowe's Companies Inc.,LOW,FALSE,,2012-2022,Consumer Discretionary,,,,
TJX Companies Inc.,TJX,FALSE,,2012-2022,Consumer Discretionary,,,,
Nike Inc.,NKE,TRUE,FALSE,2012-2022,Clothing,,,,
Colgate-Palmolive Co.,CL,FALSE,,2012-2022,Consumer Staples,,,,
Kimberly-Clark Corp.,KMB,FALSE,,2012-2022,Consumer Staples,,,,
Eli Lilly and Co.,LLY,FALSE,FALSE,2012-2022,Healthcare,,,,
Amgen Inc.,AMGN,FALSE,,2012-2022,Healthcare,,,,
Bristol-Myers Squibb Co.,BMY,FALSE,FALSE,2012-2022,Healthcare,,,,
Gilead Sciences Inc.,GILD,FALSE,,2012-2022,Healthcare,,,,
CVS Health Corp.,CVS,FALSE,,2012-2022,Healthcare,,,,
Kroger Co.,KR,FALSE,,2012-2022,Consumer Staples,,,,
Walgreens Boots Alliance Inc.,WBA,FALSE,,2012-2022,Consumer Staples,,,,
ConocoPhillips,COP,FALSE,FALSE,2012-2022,Energy,,,,
Schlumberger Ltd.,SLB,FALSE,,2012-2022,Energy,,,,
Marathon Petroleum Corp.,MPC,FALSE,,2012-2022,Energy,,,,
Halliburton Co.,HAL,FALSE,,2012-2022,Energy,,,,
Newmont Corp.,NEM,TRUE,FALSE,2012-2022,Materials,,,,
Freeport-McMoRan Inc.,FCX,TRUE,FALSE,2012-2022,Materials,,,,
Sherwin-Williams Co.,SHW,FALSE,,2012-2022,Materials,,,,
3M Co.,MMM,FALSE,,2012-2022,Industrials,,,,
Caterpillar Inc.,CAT,FALSE,,2012-2022,Industrials,,,,
Deere & Co.,DE,FALSE,,2012-2022,Industrials,,,,
United Parcel Service Inc.,UPS,FALSE,,2012-2022,Industrials,,,,
FedEx Corp.,FDX,TRUE,FALSE,2012-2022,Industrials,,,,
Union Pacific Corp.,UNP,TRUE,FALSE,2012-2022,Industrials,,,,
Southwest Airlines Co.,LUV,FALSE,,2012-2022,Industrials,,,,
Fossil,FOSL,FALSE,,2012-2016,Fashion,,,,
United States Steel,X,TRUE,FALSE,2012-2014,Materials,,,,
Under Armour,UA,TRUE,FALSE,2014-2019,Clothing,,,,
Foot Locker,FL,TRUE,FALSE,2016-2019,Clothing,,,,
Etsy,ETSY,TRUE,FALSE,2020-2024,Consumer Discretionary,,,,
TripAdvisor,TRIP,TRUE,FALSE,2012-2019,Travel,,,,
Coty,COTY,TRUE,FALSE,2016-2020,Beauty,,,,
Helmerich & Payne,HP,FALSE,FALSE,2010-2020,Energy,,,,
Murphy Oil,MUR,TRUE,FALSE,2012-2017,Energy,,,,
Yahoo,YHOO,TRUE,FALSE,2012-2017,Technology,,,,
Bed Bath & Beyond,BBBY,TRUE,FALSE,2012-20,Retail,,,,
Airgas,ARG,TRUE,FALSE,2012-2016,Energy,,,,
Hudson City Bancorp,HCBK,FALSE,FALSE,2012-2015,Financials,,,,
Amcor,AMCR,TRUE,FALSE,2019-2022,Materials,,,,
Perrigo,PRGO,TRUE,FALSE,2012-2021,Healthcare,,,,
Nov,NOV,FALSE,FALSE,2012-2021,Energy,,,,
Climarex Energy,XEC,TRUE,FALSE,2014-2020,Energy,,,,
SunTrust Banks,STI,TRUE,FALSE,2012-2019,Financials,,,,
Nektar Therapeutics,NKTR,TRUE,FALSE,2018-2019,Healthcare,,,,
Jefferies Financial Group,JEF,FALSE,FALSE,2012-2019,Financials,,,,
SCANA,SCG,FALSE,FALSE,2012-2019,Energy,,,,
Signet Jewelers,SIG,TRUE,FALSE,2015-2018,Retail,,,,
Urban Outfitters,URBN,TRUE,FALSE,2012-2017,Retail,,,,
Nabors Industries,NBR,TRUE,FALSE,2012-2015,Energy,,,,
Booking Holdings Inc,BKNG,TRUE,FALSE,,Travel,,,,
Expedia Group Inc,EXPE,TRUE,FALSE,,Travel,,,,
The Estée Lauder Companies Inc.,EL,TRUE,FALSE,,Beauty,,,,
"Ulta Beauty, Inc.",ULTA,TRUE,FALSE,,Beauty,,,,
Lululemon Athletica Inc. (LULU),LULU,TRUE,FALSE,,Clothing,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,FALSE,d,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
,,FALSE,,,,,,,
